filename,subj,arm,series,cond,no,totDur,attDur,decDur,transDur,LAT,totSPL,attSPL,decSPL,transSPL,totSC,attSC,decSC,transSC,TC,totFlat,attFlat,decFlat,transFlat,totSpecFlat,attSpecFlat,decSpecFlat,transSpecFlat,totCrest,attCrest,decCrest,transCrest
S2L57N004.wav,S2,ND,2,N,4,476.780045351474,6.19047619047618,470.589569160998,98.3895450946218,-5.08474326624998,NaN,NaN,NaN,NaN,734.27581987973,1156.53081449954,734.556513822998,734.27581987973,204.557345548137,0.415753607114372,0.831115630328107,0.412509122133255,0.753805725352728,0.025038083294517,0.0466260918888533,0.0253262667578121,0.0138435293461474,4.51840190049534,2.11285834697214,4.46568034111621,2.29795050117478
S2L57N005.wav,S2,ND,2,N,5,465.873015873016,6.19047619047618,459.68253968254,92.8469982410635,-5.08474326624998,NaN,NaN,NaN,NaN,759.933654826126,1211.81226819413,758.347207823877,759.933654826126,199.014798694578,0.389376432469381,0.796102158936972,0.394098504935843,0.717477721835826,0.021854413001339,0.0520488796476573,0.0221096476963889,0.0134524696704109,5.44339881859834,2.12483686132065,4.76887879932329,2.38806572649788
S2L57N006.wav,S2,ND,2,N,6,465.46485260771,5.60090702947845,459.863945578231,91.7272947618164,-5.18482672480696,NaN,NaN,NaN,NaN,769.902692541131,1170.15462310596,769.095023405032,769.902692541131,197.305526054333,0.388200773749327,0.851406324212496,0.375929068595032,0.753655271589228,0.0205971960373318,0.0480544003987936,0.0207776869211629,0.0129365654306072,5.71018719909556,2.38372777462703,5.87520905909211,2.9121114708004
S2L57N007.wav,S2,ND,2,N,7,488.979591836735,5.60090702947845,483.378684807256,92.2401745629173,-5.18482672480696,NaN,NaN,NaN,NaN,800.939749323822,1174.21034446026,800.359300954833,800.939749323822,197.818405855434,0.36483575720844,0.811614641061296,0.367216112324313,0.75749274432521,0.0215189237674235,0.0424663424205338,0.0216999594784025,0.0141437074277413,5.82088474383251,2.04439075671,5.56938770035326,2.69731104293847
S2L57N008.wav,S2,ND,2,N,8,465.147392290249,5.60090702947845,459.546485260771,90.9077088839306,-5.18482672480696,NaN,NaN,NaN,NaN,820.696574135257,1088.04919153008,819.055855755095,820.696574135257,196.485940176448,0.375908619984715,0.786637321678658,0.396329716778608,0.715035005074024,0.0206552870628532,0.0445187965016706,0.0207785330274373,0.0139883527036024,6.19765515108946,2.26962279941192,6.29324484800234,3.09885935253766
S2L57N009.wav,S2,ND,2,N,9,465.147392290249,5.60090702947845,459.546485260771,91.1247599963317,-5.18482672480696,NaN,NaN,NaN,NaN,823.288209614607,1112.72090633098,820.82499887496,823.288209614607,196.702991288849,0.389299253623494,0.771618353202238,0.392535638938197,0.713983916810027,0.0207328590998312,0.0426883656131529,0.0208828342088405,0.0139897928016784,6.14306823240718,2.29098693758082,6.29688641421241,3.1041075057207
S2L58C001.wav,S2,ND,3,C,1,465.396825396825,4.39909297052154,460.997732426304,92.0065486279524,-5.42635690237161,NaN,NaN,NaN,NaN,848.453516134842,1114.1222543227,845.835170824033,848.453516134842,196.382965861512,0.361760912843982,0.79732857402311,0.363446698361385,0.703847239311304,0.0208358679581083,0.0336339063371281,0.0209559450563366,0.0140872054698027,6.88483892523305,2.45134274185899,7.08058806020309,3.48424195671351
S2L58C002.wav,S2,ND,3,C,2,427.959183673469,5.60090702947845,422.358276643991,90.836922465442,-5.18482672480696,NaN,NaN,NaN,NaN,867.667517109616,1202.77235080933,862.711521769948,867.667517109616,196.415153757959,0.40591993946401,0.789546170573795,0.425987350806382,0.610683261556482,0.0183834714782068,0.0488364349991507,0.0184132272907188,0.0147158536507384,6.39694363867717,2.20297380192101,5.75745260029629,2.92438840350881
S2L58C003.wav,S2,ND,3,C,3,463.015873015873,5.60090702947845,457.414965986395,90.9720471762649,-5.18482672480696,NaN,NaN,NaN,NaN,860.327768589435,1314.40006207724,856.662424673519,860.327768589435,196.550278468782,0.366947180469634,0.801543479194988,0.394498170512877,0.597709992397287,0.0193079066509927,0.0514274052893784,0.0193964966407199,0.0140023055329029,6.67473962122989,2.26803042204957,6.06118854556192,2.95920034746042
S2L58C004.wav,S2,ND,3,C,4,471.496598639456,5.60090702947845,465.895691609977,90.6563657094642,-5.18482672480696,NaN,NaN,NaN,NaN,891.878329424148,1290.72907466783,888.504958202378,891.878329424148,196.234597001981,0.375459161766883,0.800484119092834,0.399758820068292,0.584181421447669,0.0192375398712093,0.0526487204888599,0.0192810979963075,0.0149685470399263,6.8340323241264,2.17671560246224,6.35608264795786,3.06508090660443
S2L58C005.wav,S2,ND,3,C,5,471.315192743764,5.60090702947845,465.714285714286,91.6100586549661,-5.18482672480696,NaN,NaN,NaN,NaN,896.485640718411,1371.29061962832,892.326269127245,896.485640718411,197.188289947483,0.395208774198347,0.781562502866707,0.395384593737109,0.609585008909574,0.0187108242102621,0.051440000053219,0.0187764295576507,0.0154322761602419,6.93876032058898,2.18965137173107,6.4527485078573,3.12390485009569
S2L58C006.wav,S2,ND,3,C,6,471.632653061224,5.60090702947845,466.031746031746,91.0872982470172,-5.18482672480696,NaN,NaN,NaN,NaN,873.303148524755,1333.03666238625,870.358503129329,873.303148524755,196.665529539534,0.399607765071354,0.797557635237872,0.394171950060223,0.587292548915457,0.0192934100629673,0.0542371781664679,0.0193834044525396,0.0149039577497978,6.58872682395719,2.22967214413199,6.44553010128336,3.11313476989964
S2L58C007.wav,S2,ND,3,C,7,471.428571428571,5.60090702947845,465.827664399093,90.3823213599425,-5.18482672480696,NaN,NaN,NaN,NaN,903.782739998166,1437.51411128024,899.515098658649,903.782739998166,195.96055265246,0.372032666687614,0.770825162588556,0.395158216616933,0.580905722891982,0.0195973985838064,0.059603917305077,0.019638363366083,0.0150481335510985,6.41032522931268,2.0977831816546,6.25136498099779,3.00539657754988
S2L58C008.wav,S2,ND,3,C,8,471.587301587302,5.60090702947845,465.986394557823,91.0333660877868,-5.18482672480696,NaN,NaN,NaN,NaN,869.642256401869,1247.50803465988,865.624585230113,869.642256401869,196.611597380304,0.391911259387495,0.796333627300925,0.394678223148929,0.593494146590802,0.0193279762326893,0.050378696838206,0.0193687845418479,0.0151144821982922,6.8460982650044,2.23945221940959,6.15485149579351,2.97406903901504
