"filename","transSC","transCrest"
"S2L57N004.wav",671.023728913807,2.29795050117478
"S2L57N005.wav",697.645095398109,2.38806572649788
"S2L70N003.wav",698.501528452667,2.33154896988095
"S2R17N002.wav",704.382272967709,2.99967456225265
"S2R31N001.wav",705.422866961396,2.75562782001459
"S2L59N004.wav",708.96102564467,2.65121179122066
"S2R17N001.wav",710.866463427817,2.97146587140355
"S2R33N003.wav",721.626198653037,3.02188967045777
"S2L68N007.wav",727.87834714914,2.43601857025825
"S2L68N002.wav",730.088472208262,2.53701172670534
"S2L57N006.wav",731.921397815226,2.9121114708004
"S2R17N004.wav",735.472571792294,2.93926933691214
"S2R17N006.wav",735.531098676766,3.06219086368559
"S2L59N003.wav",736.91032481977,2.81618286214973
"S2L59N005.wav",737.258760848969,2.73133001935009
"S2R17N005.wav",737.813858068645,3.15523317266426
"S2L59N002.wav",738.187910567349,2.91861286489665
"S2L70N004.wav",738.955600884124,2.53153925354177
"S2L70N002.wav",739.007217909716,2.94364829277372
"S2L57N003.wav",740.824755291969,2.43119380825992
"S2R19N001.wav",742.183813151807,3.10400239462169
"S2R31N009.wav",745.795900676166,3.11091153078674
"S2R33N004.wav",749.098373827976,3.00788554991335
"S2R17N003.wav",749.692796726085,3.21004382449121
"S2R17N008.wav",752.627466190929,3.20796968370246
"S2R31N005.wav",753.257889039779,2.92545714518383
"S2L59N006.wav",755.877685439883,2.89269245106931
"S2R33N001.wav",756.889635158051,3.1154840566653
"S2L59N001.wav",759.373136740779,2.4382526961286
"S2L59N007.wav",761.320047668097,2.84399346406948
"S2R31N002.wav",761.608178033987,3.1425498734451
"S2R33N002.wav",761.71051177592,3.10710083484259
"S2L68N005.wav",763.474655768181,2.81102854400806
"S2R31N004.wav",767.420800716542,2.9665406695975
"S2L68N004.wav",768.385528975493,2.49434691902106
"S2R17N007.wav",769.644083138406,3.20175868032008
"S2R31N006.wav",770.896566526885,3.13508868271404
"S2R31N007.wav",772.104393025261,2.94175868544722
"S2R33N007.wav",773.27787741231,3.21436697407551
"S2L57N002.wav",778.173781988226,2.82706094410381
"S2R19N007.wav",782.248120441882,2.86267686237145
"S2R33N006.wav",783.383118287835,3.17889274849829
"S2L57N001.wav",783.906820777228,3.0592461669363
"S2L68N006.wav",789.514086436465,2.54509189167635
"S2R33N005.wav",790.054573441436,3.06496639172325
"S2R19N008.wav",797.331106921741,3.25120064669344
"S2L68N001.wav",799.868095347222,3.05712134464652
"S2L70N007.wav",799.898124267853,2.98170494587581
"S2R31N003.wav",800.056215105501,3.26614422151817
"S2R19N003.wav",800.960873275333,2.99381341719725
"S2L57N008.wav",802.254578792724,3.09885935253766
"S2R19N006.wav",802.428781381357,3.20207660576243
"S2R19N002.wav",802.461214758828,2.86989130314846
"S2L57N009.wav",805.152626871793,3.1041075057207
"S2R19N004.wav",805.745526905009,3.09127512003528
"S2L57N007.wav",806.614772436159,2.69731104293847
"S2L68N003.wav",808.416468677058,3.01775986220348
"S2L70N005.wav",813.759782436009,2.99703426181733
"S2L70N001.wav",813.951549500909,3.31954031887768
"S2R19N005.wav",820.093597878435,3.29586886363514
"S2R31N008.wav",824.230592575849,3.38737526498507
"S2R19N009.wav",830.678263003607,3.55967897952104
"S2L70N006.wav",847.832537560411,2.74367987026454
