filename,subj,arm,series,cond,no,totDur,attDur,decDur,transDur,LAT,totSPL,attSPL,decSPL,transSPL,totSC,attSC,decSC,transSC,TC,totFlat,attFlat,decFlat,transFlat,totSpecFlat,attSpecFlat,decSpecFlat,transSpecFlat,totCrest,attCrest,decCrest,transCrest
S4L20C008.wav,S4,ND,2,C,8,549.319727891156,6.19047619047618,433.958614996882,109.170636703798,-5.08474326624998,98.9326012048141,105.188114949392,92.6604611233298,105.589061546361,771.844510425621,1076.31020389732,739.922152121078,673.326888959192,215.338437157313,0.437931679642807,0.824424175028535,0.550787533150872,0.748776063400466,0.0318091592417858,0.0544662868889639,0.0375014472559478,0.0145891935737576,4.57068226156341,2.22436137126774,4.24724882609119,1.94357617771862
S4L20C009.wav,S4,ND,2,C,9,549.092970521542,6.19047619047618,434.370588375001,108.531905956065,-5.08474326624998,98.9057987122976,105.39997417274,92.6213272224492,105.575490256721,787.87464055738,1188.66402562398,759.89433234291,710.104858897193,214.69970640958,0.429472788896088,0.759278871643757,0.531114200119875,0.765530824195248,0.0315322183806694,0.0496808493920802,0.0372030495589748,0.0151839611154429,4.60071746045794,2.17829547916204,4.38689444499722,1.90286057636232
S4L20C010.wav,S4,ND,2,C,10,559.365079365079,6.19047619047618,443.916181233703,109.2584219409,-5.08474326624998,98.8723967596067,104.928250952784,92.6040323081642,105.61622553898,770.505229364371,1201.62119956174,743.076161224738,669.190778502985,215.426222394415,0.426553735310517,0.733865566317837,0.542811151280284,0.757517431168257,0.0319971872070296,0.0523398893743364,0.0370572407247174,0.0150836845733177,4.38643267221072,2.18433255284514,4.20382193255863,2.00844312449011
S4L21N002.wav,S4,ND,3,N,2,559.863945578231,5.60090702947845,441.948257649059,112.314780899694,-5.18482672480696,96.1339851058356,100.902750804656,89.8552357148819,102.849483882161,763.595473323296,912.702498330675,752.895209573056,648.974677289901,217.893012192211,0.436907221913075,0.774740869127432,0.548774744381207,0.770136734907948,0.0365841181888786,0.0402857248465813,0.0436824741491667,0.0156390658807501,4.30575802268844,2.10508014417197,4.39731264619023,1.98735147116121
S4L21N003.wav,S4,ND,3,N,3,549.52380952381,6.19047619047618,432.934141787741,110.399191545592,-5.08474326624998,97.008635537195,103.205202573251,90.8157524772153,103.587401306001,758.756857417924,1001.8637112583,727.533100132594,627.497902515356,216.566991999107,0.454718058138205,0.819085042557759,0.549919870159559,0.815739678729508,0.0332472938164116,0.0453241636181973,0.0389830355613505,0.0150199739697814,4.52811019865491,2.21864918067962,4.30037668627992,1.90538450671859
S4L21N005.wav,S4,ND,3,N,5,549.251700680272,6.19047619047618,433.860467906881,109.200756582915,-5.08474326624998,97.5935145468781,103.869206247396,91.3517390161104,104.254697967347,777.991948263248,1144.40835671393,739.568820679283,677.249294162253,215.368557036429,0.443196106630059,0.819063228287608,0.543135784373661,0.722638199920681,0.0318651706975316,0.0552135293233004,0.0370916930735376,0.0153460728546934,4.58734327792789,2.22728942587469,4.3595031506369,2.02785998026961
S4L21N006.wav,S4,ND,3,N,6,549.319727891156,5.60090702947845,433.759269151335,109.959551710343,-5.18482672480696,97.4817555345931,102.48306967032,91.2356739563335,104.287143484223,774.855664924305,946.121956377417,741.324040159293,671.69700283926,215.53778300286,0.450154929272175,0.817998640390479,0.559087595491161,0.815503736074792,0.0328686622632809,0.0437504171309473,0.0385735433057022,0.0159108938212096,4.67213802734582,2.02134122816601,4.48390246394381,2.13425480092094
S4L21N007.wav,S4,ND,3,N,7,549.206349206349,5.60090702947845,434.340157686543,109.265284490328,-5.18482672480696,97.7467548954202,103.543769750338,91.440924601626,104.549890608292,782.936578666066,981.147901428698,754.791305671525,724.729921994114,214.843515782845,0.430601687649628,0.767219456564243,0.556394730370527,0.819025375929329,0.0322521369009619,0.0436274678607844,0.0382877644224948,0.0144930658855276,4.58761126306005,2.16834327765456,4.37030700141589,2.09618604136058
S4L21N008.wav,S4,ND,3,N,8,549.138321995465,6.19047619047618,434.111060339526,108.836785465463,-5.08474326624998,97.7552005234855,104.134266348975,91.4964787748958,104.432293375051,776.625331159086,1154.4744359391,743.483103304502,679.996163531098,215.004585918978,0.44810279755317,0.828417542099854,0.546945529390244,0.782013476252207,0.0316375318678016,0.0540025814345939,0.0365650260579859,0.0152408867136216,4.57489686802564,2.19496710946261,4.40319895363714,2.07484936652282
S4L21N009.wav,S4,ND,3,N,9,535.011337868481,6.19047619047618,421.632534780577,107.188326897427,-5.08474326624998,98.5369475860047,105.383625774385,92.3171078907317,105.186947662738,788.216731731723,1189.13940188086,742.877270570481,722.073793563648,213.356127350942,0.430012729618807,0.745025117349833,0.543203083110122,0.761971038933353,0.0291242114765852,0.0590517136793912,0.0342160907884609,0.0152691619265925,4.81584036555555,2.18946583718323,4.30208242934469,1.88766288032556
S4L21N010.wav,S4,ND,3,N,10,549.070294784581,5.60090702947845,434.178764926077,109.290622829025,-5.18482672480696,97.8242748852483,102.689123875728,91.5500524519145,104.692825149531,773.257051734193,1011.57825615944,740.309003061174,681.339956225855,214.868854121542,0.436246209004969,0.864312259104848,0.564725587427353,0.831581200970509,0.0311185289862796,0.0501448378893306,0.0361925546525971,0.0147328952651427,4.78863209493014,2.07022796940835,4.46416601968402,2.17162063022686
S4L21N011.wav,S4,ND,3,N,11,522.517006802721,6.19047619047618,408.837736458246,107.488794153999,-5.08474326624998,98.5331046376191,104.495431295578,92.3856128406429,105.121420156396,789.378580287437,1333.28670808645,736.424496018022,687.146224866114,213.656594607514,0.451489046232931,0.786667925862758,0.56230245276854,0.783795129958735,0.0282198361529806,0.0561675064681575,0.0320366065286746,0.0141089278104349,4.94690168130377,2.29540384590983,4.15339033353739,2.31695448788494
S4L22C001.wav,S4,ND,4,C,1,523.015873015873,4.98866213151926,406.534844050638,111.492366833716,-5.30058751508258,97.731780450779,102.866248813169,91.5465257289188,104.220837213559,803.543980930019,986.05089873781,751.349187175999,692.620503182417,216.458353228274,0.46530409512094,0.64104621768154,0.580675846451962,0.814693884022281,0.0338454447936264,0.0444588891879798,0.0393544797381453,0.0165173294592006,5.09519569265239,2.55518943911121,4.34584231198234,2.41383750355239
