"filename","transSC","transCrest"
"P3L56N004.wav",711.811600335774,2.78083818245148
"P3L56N006.wav",713.542388840885,2.47068669411801
"P3R15N001.wav",722.933262267764,2.3798821824863
"P3L56N001.wav",724.077547055468,2.49594079584352
"P3L63N009.wav",728.211268955561,2.47072909296121
"P3R27N003.wav",728.765094816082,2.44001192711712
"P3R29N008.wav",732.510568678901,2.3683939932808
"P3L56N003.wav",732.92856404061,2.69090176623917
"P3L63N001.wav",733.996875498681,2.60935232988325
"P3L63N005.wav",739.719597943484,2.44470725679798
"P3R29N001.wav",742.814786800146,2.32124225306584
"P3L63N004.wav",743.078861824225,2.38906274165274
"P3L63N002.wav",748.293267497446,2.95468988730791
"P3R29N002.wav",748.80884787732,2.45746139407455
"P3R17N003.wav",749.126798543784,2.46963243402889
"P3L63N006.wav",753.160241780516,2.53236182832157
"P3R29N004.wav",757.971224996749,2.48229493072625
"P3R27N005.wav",759.514925471214,2.49382958820359
"P3L54N007.wav",761.895604940942,2.48622136859799
"P3R27N001.wav",763.995486489251,2.35793157786838
"P3R27N002.wav",768.21859742797,2.5428764299349
"P3R17N006.wav",768.552940034667,2.57938761238032
"P3R29N003.wav",768.65395651697,2.44234708738528
"P3R17N007.wav",768.823061185259,2.5534438111792
"P3L63N008.wav",768.896673882743,2.37933345000714
"P3R17N008.wav",769.207161728113,2.48864445306337
"P3R27N008.wav",769.369344406639,2.589563748238
"P3L63N007.wav",770.639405781449,2.55015991825515
"P3L65N005.wav",771.898248335546,2.99665638528638
"P3R17N005.wav",772.093845992034,2.65175160576416
"P3L63N003.wav",772.330814691772,2.48019850252792
"P3L56N007.wav",773.362255043243,2.47326683244068
"P3R29N006.wav",774.557161351125,2.58177226908914
"P3R17N004.wav",774.666608391836,2.61808949994783
"P3R29N005.wav",775.036983468656,2.52983737661992
"P3R27N006.wav",775.752402827393,2.82802183689922
"P3R27N007.wav",780.491436196962,2.53835038707477
"P3R15N007.wav",787.493324764321,2.54887985042241
"P3L54N005.wav",787.948597142032,3.03859913134643
"P3L56N002.wav",790.393440491072,2.91297775578397
"P3R29N007.wav",791.007934987401,2.79838222574402
"P3R15N004.wav",794.248122234837,2.67721695150513
"P3L56N005.wav",794.44342478488,2.57374838688053
"P3L65N007.wav",794.559333124881,3.07782829454978
"P3R17N002.wav",795.193285219728,2.6179156869139
"P3L54N001.wav",796.426527796862,2.94854799054196
"P3L65N003.wav",796.616702174193,2.89239528009031
"P3L54N006.wav",797.396188395534,2.45748090728244
"P3L65N001.wav",797.701017949291,2.57702697088827
"P3R15N005.wav",798.437119705134,2.53820410367031
"P3R15N003.wav",799.310965622339,2.61672330604866
"P3L65N002.wav",803.374393854637,2.55349404582879
"P3L65N008.wav",803.433358681549,2.88799667529869
"P3L65N004.wav",806.588133899363,2.95501394170987
"P3L65N006.wav",808.992927694286,2.38604848968091
"P3R15N006.wav",809.096462422285,2.55705530515307
"P3L56N008.wav",814.489017985489,2.67576507235376
"P3R15N002.wav",828.492313031154,2.63819870299033
"P3L54N002.wav",857.760286708231,3.12819304078226
"P3L54N004.wav",861.248578329439,2.67165758651024
"P3L54N003.wav",885.643640014885,3.23603949657845
